"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 13 07:40:59 IST 2019","Wed Mar 13 07:41:11 IST 2019","11825","","open the url","","open the url","creation of hierarchy","creation of hierarchy",""
"passed","Wed Mar 13 07:40:51 IST 2019","Wed Mar 13 07:40:59 IST 2019","7824","","open the url","","open the url","url","url",""
